Country Name;Country Code;GDP_US$
Aruba;ABW;
Afghanistan;AFG;19291104008
Angola;AGO;89417190341
Albania;ALB;15286612573
Andorra;AND;3155065488
United Arab Emirates;ARE;4.21142E+11
Argentina;ARG;4.45445E+11
Armenia;ARM;13672802158
American Samoa;ASM;638000000
Antigua and Barbuda;ATG;1661962963
Australia;AUS;1.39657E+12
Austria;AUT;4.45075E+11
Azerbaijan;AZE;48174235294
Burundi;BDI;3012308946
Belgium;BEL;5.33255E+11
Benin;BEN;14391686309
Burkina Faso;BFA;15990803570
Bangladesh;BGD;3.02563E+11
Bulgaria;BGR;68558815112
Bahrain;BHR;38474521277
Bahamas;BHS;13578800000
Bosnia and Herzegovina;BIH;20202479538
Belarus;BLR;64409647194
Belize;BLZ;1982518541
Bermuda;BMU;7484113000
Bolivia;BOL;40895322851
Brazil;BRA;1.87781E+12
Barbados;BRB;5209000000
Brunei Darussalam;BRN;13469422941
Bhutan;BTN;2530547158
Botswana;BWA;18362348888
Central African Republic;CAF;2220307319
Canada;CAN;1.74158E+12
Central Europe and the Baltics;CEB;1.66852E+12
Switzerland;CHE;7.31474E+11
Channel Islands;CHI;
Chile;CHL;2.79385E+11
China;CHN;1.42799E+13
Cote d'Ivoire;CIV;58539424930
Cameroon;CMR;39007354359
Democratic Republic of the Congo;COD;50400746171
Republic of the Congo;COG;12693562948
Colombia;COL;3.2343E+11
Comoros;COM;1165839900
Cabo Verde;CPV;1981845741
Costa Rica;CRI;63951114302
Caribbean small states;CSS;76644400521
Cuba;CUB;1.03131E+11
Curacao;CUW;3101787709
Cayman Islands;CYM;5935769351
Cyprus;CYP;24949065264
Czech Republic;CZE;2.50686E+11
Germany;DEU;3.86112E+12
Djibouti;DJI;3324634256
Dominica;DMA;574607407.4
Denmark;DNK;3.50104E+11
Dominican Republic;DOM;88941299734
Algeria;DZA;1.71158E+11
Ecuador;ECU;1.08108E+11
Egypt;EGY;3.03081E+11
Eritrea;ERI;
Spain;ESP;1.39349E+12
Estonia;EST;31471100656
Ethiopia;ETH;95912590628
European Union;EUU;1.5634E+13
Fragile and conflict affected situations;FCS;1.9151E+12
Finland;FIN;2.68966E+11
Fiji;FJI;5496250694
France;FRA;2.71552E+12
Faroe Islands;FRO;3126293220
Gabon;GAB;16874450215
United Kingdom;GBR;2.83081E+12
Georgia;GEO;17477255562
Ghana;GHA;67234292583
Gibraltar;GIB;
Guinea;GIN;13513809258
"Gambia, The";GMB;1826073740
Guinea-Bissau;GNB;1439638443
Equatorial Guinea;GNQ;11417278045
Greece;GRC;2.05327E+11
Grenada;GRD;1211403704
Greenland;GRL;
Guatemala;GTM;77020015201
Guam;GUM;6311000000
Guyana;GUY;5173759528
"Hong Kong SAR, China";HKG;3.63016E+11
Honduras;HND;25089976947
Croatia;HRV;60752588976
Haiti;HTI;14332163266
Hungary;HUN;1.63504E+11
Indonesia;IDN;1.11909E+12
Isle of Man;IMN;
India;IND;2.8705E+12
Ireland;IRL;3.9859E+11
Iran;IRN;2.58245E+11
Iraq;IRQ;2.22434E+11
Iceland;ISL;24836714771
Israel;ISR;3.94652E+11
